DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EL,2011,7886.860,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EL,2012,8134.842,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EL,2013,6981.004,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EL,2014,6687.083,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EL,2015,5606.374,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EL,2016,4369.484,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EL,2017,4816.635,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EL,2018,4564.069,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EL,2019,3196.088,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EL,2020,1830.920,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,ES,2011,12716.137,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,ES,2012,15518.743,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,ES,2013,11447.726,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,ES,2014,11568.180,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,ES,2015,13583.196,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,ES,2016,10836.007,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,ES,2017,12907.895,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,ES,2018,11521.899,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,ES,2019,5071.746,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,ES,2020,3099.844,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EU27_2020,2011,250501.882,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EU27_2020,2012,248765.086,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EU27_2020,2013,244924.006,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EU27_2020,2014,232765.819,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EU27_2020,2015,234066.309,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EU27_2020,2016,224575.550,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EU27_2020,2017,218771.364,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EU27_2020,2018,210387.629,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EU27_2020,2019,171905.911,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,EU27_2020,2020,140313.408,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FI,2011,3948.281,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FI,2012,2994.989,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FI,2013,3787.742,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FI,2014,3070.445,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FI,2015,2735.995,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FI,2016,2959.280,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FI,2017,2840.599,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FI,2018,2739.702,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FI,2019,2131.032,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FI,2020,1840.438,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FR,2011,11279.263,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FR,2012,12526.685,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FR,2013,13244.766,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FR,2014,9845.648,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FR,2015,9326.745,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FR,2016,9111.639,
ESTAT:TEN00122$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,NRGSUP,C0000X0350-0370,KTOE,FR,2017,9921.502,
